Date and Time,Year,is_rainy_day,Date,Count,Day of Week,Time-1,total_votes,mean_vote,reviews_from_users,reviews_from_critics,weighted_average_vote,num_of_movies_released,Year-1,max_temp/F,min_temp/F,avg_temp/F,dep_temp/F,hdd_temp/F,wtr/precipitation,avg_spd_wind,mx_spd_wind,dir_wind,ss_sky,wx_sky,spd_pk_spd,dr_pk_spd,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
31/10/2009 00:22:00,2009,YES,31/10/2009,20,Saturday,8:15pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,63,38,51,1,14,0.42,8.1,33,280,8,1,40,290,12:22 AM,64 F,63 F,96 %,S,16 mph,23 mph,28.71 in,0.1 in,Cloudy
31/10/2009 00:22:00,2009,YES,31/10/2009,143,Saturday,8:00pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,63,38,51,1,14,0.42,8.1,33,280,8,1,40,290,12:22 AM,64 F,63 F,96 %,S,16 mph,23 mph,28.71 in,0.1 in,Cloudy
31/10/2009 00:22:00,2009,YES,31/10/2009,150,Saturday,7:30pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,63,38,51,1,14,0.42,8.1,33,280,8,1,40,290,12:22 AM,64 F,63 F,96 %,S,16 mph,23 mph,28.71 in,0.1 in,Cloudy
31/10/2009 00:22:00,2009,YES,31/10/2009,177,Saturday,7:00pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,63,38,51,1,14,0.42,8.1,33,280,8,1,40,290,12:22 AM,64 F,63 F,96 %,S,16 mph,23 mph,28.71 in,0.1 in,Cloudy
31/10/2009 00:22:00,2009,YES,31/10/2009,52,Saturday,6:30pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,63,38,51,1,14,0.42,8.1,33,280,8,1,40,290,12:22 AM,64 F,63 F,96 %,S,16 mph,23 mph,28.71 in,0.1 in,Cloudy
31/10/2009 00:22:00,2009,YES,31/10/2009,0,Saturday,6:00pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,63,38,51,1,14,0.42,8.1,33,280,8,1,40,290,12:22 AM,64 F,63 F,96 %,S,16 mph,23 mph,28.71 in,0.1 in,Cloudy
31/10/2009 01:17:00,2009,YES,31/10/2009,20,Saturday,8:15pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,63,38,51,1,14,0.42,8.1,33,280,8,1,40,290,1:17 AM,64 F,63 F,94 %,WSW,14 mph,24 mph,28.75 in,0.1 in,Cloudy
31/10/2009 01:17:00,2009,YES,31/10/2009,143,Saturday,8:00pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,63,38,51,1,14,0.42,8.1,33,280,8,1,40,290,1:17 AM,64 F,63 F,94 %,WSW,14 mph,24 mph,28.75 in,0.1 in,Cloudy
31/10/2009 01:17:00,2009,YES,31/10/2009,150,Saturday,7:30pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,63,38,51,1,14,0.42,8.1,33,280,8,1,40,290,1:17 AM,64 F,63 F,94 %,WSW,14 mph,24 mph,28.75 in,0.1 in,Cloudy
31/10/2009 01:17:00,2009,YES,31/10/2009,177,Saturday,7:00pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,63,38,51,1,14,0.42,8.1,33,280,8,1,40,290,1:17 AM,64 F,63 F,94 %,WSW,14 mph,24 mph,28.75 in,0.1 in,Cloudy
